"Name","City","Neighborhood","Delivery Min","Delivery Fee","Rating","Reviews"
"U Penn Cafe","philadelphia","cedar-park","$10","$2","70","28"
"Rich City Chinese Restaurant","philadelphia","cedar-park","$10","$1","70","99"
"Aladdin Pizzeria & Eatery","philadelphia","cedar-park","$8","$3","70","54"
"Thai Singha House","philadelphia","cedar-park","$15","$2","70","61"
"Jake's Sandwich Board - 40th St.","philadelphia","cedar-park","$10","$2.99","70","54"
"Desi Village Indian Cuisine","philadelphia","cedar-park","$15","","70","96"
"goBrands Philadelphia","philadelphia","cedar-park","$9","$1.95","70","51"
"Tortas Pizza: Él Sabor de Mi Tierra","philadelphia","cedar-park","$10","$2","80","10"
"Pizzeria Cappelli","philadelphia","cedar-park","$10","$2","70","48"
"Accu Pizza","philadelphia","cedar-park","$12","$2","60","39"
"Curry Bird","philadelphia","cedar-park","$10","$2","80","10"
"Falafel Exotic Halal Cuisine","philadelphia","cedar-park","$15","$2","70","27"
"Lair KTV","philadelphia","center-city","$9","$1.99","70","12"
"Xiandu Thai","philadelphia","center-city","$15","$1","90","359"
"Rosa's Fresh Pizza","philadelphia","center-city","$20","","90","160"
"Golden Triangle","philadelphia","center-city","$15","","90","72"
"Bleu Sushi","philadelphia","center-city","$15","$0.99","80","396"
"The Living Room","philadelphia","center-city","$15","$2","90","127"
"Spice 28","philadelphia","center-city","$15","$1","80","591"
"Kabuki Sushi","philadelphia","center-city","$10","$1","80","281"
"Crazy Sushi","philadelphia","center-city","$10","","80","387"
"New Delhi Indian","philadelphia","center-city","$15","$0.5","80","397"
"Bubblefish","philadelphia","center-city","$9","$1.99","80","271"
"Tom's Dim Sum","philadelphia","center-city","$9","$1.99","80","240"
"Shang Hai 1","philadelphia","center-city","$9","$1.99","80","144"
"Giovani's Falafel Bar & Grill","philadelphia","center-city","$10","","80","85"
"Lazos Pizza & Grill","philadelphia","center-city","$10","$1.5","80","116"
"Smile Cafe","philadelphia","center-city","$15","","80","230"
"Fuji Mountain Japanese","philadelphia","center-city","$20","","80","362"
"Luigi's Pizza Fresca","philadelphia","center-city","$10","$1.5","80","172"
"Yellowtail","philadelphia","center-city","$10","$1","80","89"
"Gianfranco Pizza Rustica","philadelphia","center-city","$15","$2.5","80","184"
"Biryani Bowl Indian Cuisine","philadelphia","chestnut-hill","$20","$4","80","55"
"Mario's Pizza","philadelphia","chestnut-hill","$10","$2","70","36"
"Panda Garden","philadelphia","chestnut-hill","$10","$1.5","80","28"
"Banjara Indian Bistro","philadelphia","chestnut-hill","$25","","80","38"
"Thai Kuu","philadelphia","chestnut-hill","$25","$2","70","110"
"Totos Pizzeria","philadelphia","chestnut-hill","$10","$2","60","98"
"King's Garden","philadelphia","chestnut-hill","$15","$2","70","62"
"Tiffin","philadelphia","chestnut-hill","$15","","60","140"
"Ruby Xin Chinese Restaurant","philadelphia","chestnut-hill","$10","$2.49","60","50"
"Fiesta Pizza III","philadelphia","chestnut-hill","$10","$1.5","60","53"
"Chatkharay Indian & Pakistani","philadelphia","chestnut-hill","$25","$2","50","43"
"Mina's Pizza","philadelphia","chestnut-hill","$12","$2","60","38"
"Golden Crust Pizza","philadelphia","chestnut-hill","$10","$2.5","50","31"
"Roman's Pizza","philadelphia","chestnut-hill","$12","$2.5","50","28"
"Action Pizza","philadelphia","chestnut-hill","$7","$1.5","40","4"
"Takka Grill","philadelphia","chestnut-hill","$8","$2","30","7"
"Mr. Hook Fish & Chicken","philadelphia","chestnut-hill","$10","$4","30","3"
"Saladworks","philadelphia","chestnut-hill","","at","80","21"
"Biryani Bowl Indian Cuisine","philadelphia","chestnut-hill-college","$20","$4","80","55"
"Mario's Pizza","philadelphia","chestnut-hill-college","$10","$2","70","36"
"Panda Garden","philadelphia","chestnut-hill-college","$10","$1.5","80","28"
"Banjara Indian Bistro","philadelphia","chestnut-hill-college","$25","","80","38"
"Thai Kuu","philadelphia","chestnut-hill-college","$25","$2","70","110"
"Totos Pizzeria","philadelphia","chestnut-hill-college","$10","$2","60","98"
"King's Garden","philadelphia","chestnut-hill-college","$15","$2","70","62"
"Tiffin","philadelphia","chestnut-hill-college","$15","","60","140"
"Ruby Xin Chinese Restaurant","philadelphia","chestnut-hill-college","$10","$2.49","60","50"
"Fiesta Pizza III","philadelphia","chestnut-hill-college","$10","$1.5","60","53"
"Chatkharay Indian & Pakistani","philadelphia","chestnut-hill-college","$25","$2","50","43"
"Mina's Pizza","philadelphia","chestnut-hill-college","$12","$2","60","38"
"Golden Crust Pizza","philadelphia","chestnut-hill-college","$10","$2.5","50","31"
"Roman's Pizza","philadelphia","chestnut-hill-college","$12","$2.5","50","28"
